;Группа;Артикул;Номенклатура;Модели;ЦЕНА;;
;CHEVROLET;96457073;Абсорбер бампера заднего;REZZO;2050;;2665
;CHEVROLET;96262628;Абсорбер бампера переднего;REZZO;920;;1196
;CHEVROLET;96481305;Абсорбер заднего бампера (седан);AVEO-1;1170;;1521
;CHEVROLET;96489183;Абсорбер заднего бампера(хечбэк);AVEO;1170;;1521
;CHEVROLET;96545497;Абсорбер переднего бампера (седан);LACTT;850;;1105
;CHEVROLET;96303216;Абсорбер переднего бампера (соты);LAN;600;;780
;CHEVROLET;96648626;Абсорбер переднего бампера (соты);GENTRA/AVEO-2;1160;;1508
;CHEVROLET;96547253;Абсорбер переднего бампера 4 DR/WGN (2005-);LACTT;850;;1105
;CHEVROLET;96545495;Абсорбер переднего бампера(хечбек);LACTT;850;;1105
;CHEVROLET;96399504;Аирбег (Водитель);LACTT;20480;;26624
;CHEVROLET;96465166;Аирбег (Водитель);AVEO-2;15100;;19630
;CHEVROLET;96399503;Аирбег (Водитель);AVEO;17420;;22646
;CHEVROLET;96803209;Аирбег (Водитель);AVEO;17420;;22646
;CHEVROLET;96474818;Аирбег (Водитель);LACTT;20970;;27261
;CHEVROLET;96220427;Аирбег водительский;LAN;17420;;22646
;CHEVROLET;96333453;Аирбег пассажирский;LAN;11780;;15314
;CHEVROLET;96654849;Аирбег пассажирский;AVEO-2;23220;;30186
;CHEVROLET;96474823;Аирбег пассажирский;LACTT;30650;;39845
;CHEVROLET;96470791;Аирбег сидения;LACTT;9290;;12077
;CHEVROLET;96518906;Актуатор замка 5-ой двери (хечбек,вагон);LACTT;530;;689
;CHEVROLET;96518349;Актуатор замка 5-ой двери (хечбек,вагон);LACTT;560;;728
;CHEVROLET;96327155;Актуатор замка багажника (седан);LACTT;910;;1183
;CHEVROLET;96252710;Актуатор центрального замка передней  двери лев;AVEO, LACTT, LAN;490;;637
;CHEVROLET;96229551;Актуатор центрального замка передней  двери лев;AVEO, LACTT, LAN;690;;897
;CHEVROLET;96229552;Актуатор центрального замка передней  двери прав;AVEO, LACTT, LAN, NUB-1, NUB-2;690;;897
;CHEVROLET;96385757;Амортизатор;;2420;;3146
;CHEVROLET;96328461;Амортизатор;;3490;;4537
;CHEVROLET;96328462;Амортизатор;;3490;;4537
;CHEVROLET;96548931;Амортизатор зад,двери 4H;LACTT;530;;689
;CHEVROLET;96540939;Амортизатор зад,двери 5-ой;AVEO;530;;689
;CHEVROLET;96601844;Амортизатор зад,двери 5-ой (2);SPARK;640;;832
;CHEVROLET;96424027;Амортизатор задний ;SPARK;2200;;2860
;CHEVROLET;96410116;Амортизатор задний (газ);AVEO;1570;;2041
;CHEVROLET;96535158;Амортизатор задний (масло);AVEO;1570;;2041
;CHEVROLET;96494605;Амортизатор задний (масло);AVEO;1570;;2041
;CHEVROLET;96473865;"Амортизатор задний а/м """"Tacuma 1,8л""""""";;2500;;3250
;CHEVROLET;96394591;Амортизатор задний левый 4/5DR;LACTT;2790;;3627
;CHEVROLET;96407821;Амортизатор задний левый 4/5DR;LACTT;2790;;3627
